Santo Domingo,1978,5000,Alcorcón
Carlos Belmonte,1960,17400,Albacete
Nuevo Mirador,1999,7500,Algeciras
San Mamés,2013,53289,Ath. Bilbao
Lasesarre,2001,7960,Barakaldo
El Plantío,1964,12200,Burgos
Ángel Carro,1974,7840,Lugo
Nueva Balastera,2006,8070,Palencia
El Sadar,1967,19800,Osasuna
Ramón de Carranza,1957,25033,Cádiz
Nuevo Vivero,1998,15598,Badajoz
Castalia,1987,16000,Castellón
Pedro Escartín,1967,6000,Guadalajara
Butarque,1998,10958,Leganés
Linarejos,1956,10000,Linares
Anduva,1950,6000,Mirandés
Nuevo Los Pajaritos,1999,9025,Numancia
Heliodoro Rodríguez López,1925,22948,Tenerife
Salto del Caballo,1973,5300,Toledo
Nova Creu Alta,1967,11981,Sabadell
Wanda-Metropolitano,2017,67000,At. Madrid
Vicente Calderón,1966,54851,At. Madrid
Ciudad de Málaga,2006,10816,Málaga (C.D.)
Camp Nou Municipal,1978,5000,Reus
Nou Estadi de Tarragona,1971,14500,Gimn. Tarragona
El Arcángel,1993,21822,Córdoba
Reino de León,2001,13451,Cult. Leonesa
Mendizorroza,1924,19840,Alavés
San Pablo,1986,6000,Écija
Manuel Martínez Valero,1976,33732,Elche
Francisco de la Hera,1951,11580,Extremadura
Camp Nou,1957,99354,Barcelona
Mini Estadi,1982,15276,Barcelona B
Cartagonova,1988,15105,Cartagena F.C.
Coliseum Alfonso Pérez,1998,17000,Getafe
Municipal de Montilivi,1970,9500,Girona
Los Cármenes,1995,22524,Granada
José Rico Pérez,1974,29500,Hércules
Ciudad de Valencia,1969,25354,Levante
Camp d'Esports,1919,13500,Lleida
Francisco Artés Carrasco,2003,8120,Lorca
La Rosaleda,1941,30044,Málaga
Romano,1953,14600,Mérida
Los Arcos,1945,6000,Orihuela
Nou Municipal de Palamós,1989,6000,Llagostera
Pasarón,1956,12000,Pontevedra
A Malata,1993,12043,Ferrol
Estadio de Vallecas,1976,14708,Rayo Vallecano
Balaídos,1928,29000,Celta
Riazor,1944,32911,Dptivo. Coruña
Nuevo Colombino,2001,21670,Rec. Huelva
RCDE Stadium,2009,40500,Espanyol
Iberostar Estadio,1999,23142,Mallorca
Nuevo Romón Suárez Puerta,1999,5500,Avilés
Benito Villamarín,1929,51000,Betis
La Victoria,2001,12600,Jaén
Ciudad Real Madrid,2005,6000,Real Madrid B
Santiago Bernabéu,1947,81044,Real Madrid
Nueva Condomina,2006,31179,Murcia
Carlos Tartiere,2000,30500,Oviedo
El Sardinero,1988,22222,Rac. Santander
Anoeta,1993,32076,Real Sociedad
El Molinón,1908,30000,Sporting Gijón
Stadium Gal,1926,5000,Real Unión
José Zorrilla,1982,26512,Valladolid
La Romareda,1957,34596,Zaragoza
San Lázaro,1993,13000,Compostela
Ipurúa,1947,7100,Éibar
El Alcoraz,1972,5700,Huesca
El Toralín,2000,8200,Ponferradina
Ramón Sánchez Pizjuán,1958,42714,Sevilla
Olmpic de Terrassa,1960,11500,Terrassa
La Condomina,1924,17500,UCAM Murcia
Juegos Mediterráneos,2004,15000,Almería
Luis Suñer Picó,1973,8100,Alzira
Gran Canaria,2003,32392,Las Palmas
Las Gaunas,2002,16000,Logroñés
Municipal de Marbella,1975,7300,Marbella
Estadi Municipal Vilatenim,1986,9472,Figueres
Narcís Sala,1970,6550,Sant Andreu
O Couto,1974,5625,Ourense
Estadio Javier Sotomayor,1970,4000,Salamanca
Nou Mestalla,2019,61500,Valencia
Mestalla,1923,55000,Valencia
El Madrigal,1923,23500,Villarreal
Ciudad Deportiva del Villarreal CF,2002,5100,Villarreal B
Chapín,1988,20486,Xerez
